ref_geo;geom
AA_01;MULTIPOLYGON(((-46.44635125287542 -1.876476489810285,-46.44632412117128 -1.87641264878597,-46.44630276219284 -1.876316475424649,-46.44616964035385 -1.876307188378168,-46.44603644011314 -1.876259649164097,-46.44587467876225 -1.876193042978104,-46.44573186344228 -1.876092926694844,-46.44555585092812 -1.876031131512464,-46.44537029191864 -1.875950229905719,-46.44521804766216 -1.875888385378107,-46.44509430574308 -1.875816918666376,-46.44510829249862 -1.875683006471033,-46.44513642271961 -1.875491686454874,-46.44519776978104 -1.875271608368772,-46.44520567292846 -1.875161204020055,-46.44508196337462 -1.875055353115809,-46.44500253671057 -1.875267818193841,-46.44489682576302 -1.875567122778908,-46.44479860776711 -1.875888646065991,-46.44487565348513 -1.876370466073148,-46.44491493666819 -1.876982422288867,-46.44496151246741 -1.877441353933952,-46.44504613345505 -1.877907857100989,-46.44517604475007 -1.878205955927941,-46.44536716676443 -1.878604021289269,-46.44550068512099 -1.878806481606695,-46.44569145151596 -1.879108279093964,-46.44591257869687 -1.879379411571152,-46.4460727648937 -1.879604767665975,-46.44622544736728 -1.879879867259941,-46.44640839634547 -1.88007839929811,-46.44639906602648 -1.878929319539325,-46.44639771233787 -1.87826947014125,-46.44639187011901 -1.877738731570417,-46.44641932333145 -1.877217486997934,-46.44644687477427 -1.876744057619357,-46.44638025503286 -1.876710725024838,-46.44629461088112 -1.876672650339425,-46.44628018330999 -1.876591394108716,-46.44635125287542 -1.876476489810285)))
AA_02;MULTIPOLYGON(((-46.42810764817494 -1.895827488344326,-46.42827750134428 -1.895281903660792,-46.42820046712426 -1.894807727696325,-46.4282147058763 -1.8943333621862,-46.42822831705144 -1.893552974797748,-46.4282575487418 -1.892971470084299,-46.4282983514039 -1.892166191320581,-46.42792029663755 -1.892170667406988,-46.42773908227386 -1.892360499059102,-46.42758749440895 -1.892620933287787,-46.42733933855821 -1.892899836195797,-46.42731174419405 -1.89322975246593,-46.42722412894054 -1.893463251373559,-46.42670685384561 -1.893433721990481,-46.42617452321269 -1.893480729537427,-46.42573352789097 -1.8935581499291,-46.42541021475284 -1.893224132340157,-46.42521955421507 -1.892975883919951,-46.42503232706806 -1.892855748376556,-46.42513685982325 -1.892294541591597,-46.42506733853048 -1.891258885537066,-46.42448399678708 -1.891255214902711,-46.4250304381711 -1.897597183226382,-46.42619019107369 -1.897508705411104,-46.42635138854211 -1.897297979284437,-46.42655028265185 -1.896924599847407,-46.42685869576341 -1.896639452985283,-46.42705112163215 -1.896588846333302,-46.42738611725529 -1.896516426254134,-46.42752139434484 -1.896415731327732,-46.42765655359928 -1.89625765728112,-46.4278842940345 -1.896042011583829,-46.42810764817494 -1.895827488344326)))
AA_03;MULTIPOLYGON(((-46.42812119087792 -1.888576979211964,-46.42777518483827 -1.889074981907637,-46.42793634264431 -1.888845131454631,-46.42812119087792 -1.888576979211964,-46.42416155923901 -1.890770596493127,-46.42417830684799 -1.89065079606042,-46.42420908502191 -1.890441102309589,-46.42418340343721 -1.890275463533072,-46.42420449170026 -1.8901383977373,-46.42422844111326 -1.889982735636592,-46.42422453465824 -1.889807837050665,-46.42408471824204 -1.889518699864243,-46.42419321654832 -1.889495084023349,-46.42439386020793 -1.889477489839185,-46.42451174709908 -1.889321672200968,-46.42472835246913 -1.889201908869971,-46.4248600238061 -1.889189593958407,-46.42493889552542 -1.889219740391014,-46.42505413003694 -1.889263785433962,-46.42540279127489 -1.889127231194793,-46.42563860926632 -1.88914204431679,-46.42592396025364 -1.889202658283778,-46.42628906481354 -1.889209553094474,-46.42657429827015 -1.889212787882134,-46.42679862874653 -1.889189371737283,-46.42696191535939 -1.889070449934322,-46.42713269052027 -1.88889413343223,-46.42736863339731 -1.888970150497021,-46.42753209994953 -1.888939209763953,-46.42770677191219 -1.888808788570606,-46.42784343729619 -1.888689921932784,-46.42812119087792 -1.888576979211964,-46.42821534574323 -1.888571101137959,-46.42835884905612 -1.888562142236162,-46.42864405446118 -1.888551988337295,-46.42891516497896 -1.888623150666814,-46.42911013717636 -1.888656217909458,-46.42949784095634 -1.888725027376444,-46.42950959878809 -1.888727114148085,-46.42972030773916 -1.888620596690113,-46.42975470969347 -1.888603205833177,-46.42977210346963 -1.888526810388555,-46.42979851125719 -1.888519921700164,-46.42982199152323 -1.88851379667955,-46.42984938512298 -1.888467342400915,-46.42979823567634 -1.888444735756702,-46.42975656682316 -1.888408960047659,-46.42972327580632 -1.888401856615302,-46.42973748078522 -1.888374332946792,-46.42972674565459 -1.888355228763374,-46.42969819371214 -1.888340943100077,-46.42968269502972 -1.8883170671781,-46.42965653220788 -1.888308753570878,-46.42963989649136 -1.888309983438371,-46.42963391267613 -1.888289674006712,-46.42962077374155 -1.888257425381081,-46.42958032271107 -1.888235991952507,-46.42956600757734 -1.888209722769807,-46.42959571613706 -1.888208465822019,-46.42964445687428 -1.888215537256579,-46.42967061479826 -1.888221460072895,-46.42970631206548 -1.888242903346473,-46.42973128889247 -1.888252414812551,-46.42977643003505 -1.888242758075561,-46.42980733192584 -1.888243889453171,-46.42981926528615 -1.8882677727591,-46.42983597688796 -1.888303600179311,-46.42984316138582 -1.888329884126248,-46.42987764573393 -1.888339375887319,-46.42991090002321 -1.888328548371612,-46.42992986854955 -1.888305796441983,-46.42994645529922 -1.888280658645224,-46.42997968020771 -1.888255486374848,-46.43002005778688 -1.888241057896586,-46.43006399333893 -1.888223035842089,-46.43013645389035 -1.888206150083381,-46.43014833339109 -1.888203734665895,-46.43013543226891 -1.888229425685305,-46.43017462328922 -1.888231546984073,-46.43021076332252 -1.888239005116654,-46.43021786164311 -1.888223211113368,-46.43022279215379 -1.888227867829729,-46.43025116651765 -1.888201306107728,-46.43026061527566 -1.888172596903067,-46.43027391796422 -1.888168744054809,-46.43030244051302 -1.88816868495198,-46.43032332571 -1.88815334054178,-46.43034040398282 -1.888136091378792,-46.43035728575611 -1.88809930180242,-46.43033942244113 -1.888081407802842,-46.43036195382466 -1.888057453096248,-46.43038331635402 -1.888043064019515,-46.43038799176813 -1.888004801501918,-46.43042240754256 -1.887980822171547,-46.43044741373106 -1.888004678373843,-46.43046522562974 -1.887997469060255,-46.43047466948867 -1.887966369069634,-46.4304662990018 -1.887941282996329,-46.43047453483729 -1.887900622302544,-46.43050782337297 -1.88790653033073,-46.43052318378789 -1.887919168458112,-46.43055859106547 -1.887898471735373,-46.43060420361956 -1.887886901373695,-46.43065743784937 -1.887882965782329,-46.43069355855686 -1.887879065651728,-46.43075434394676 -1.887848337437328,-46.4308018344878 -1.887825287336589,-46.43083224284857 -1.887817573760426,-46.43090836290042 -1.887776104974165,-46.43093822634645 -1.887734443156582,-46.43101803652344 -1.887708457121979,-46.43105442864185 -1.887675577931871,-46.43106765296612 -1.887633472439207,-46.43109043180593 -1.887614298832337,-46.43112464315641 -1.887606577376185,-46.43117402733837 -1.88757969807525,-46.4314776347112 -1.887513674130263,-46.43177331019948 -1.887305416852501,-46.43190538010923 -1.887224344097608,-46.43213271918513 -1.887058066238885,-46.43225607126922 -1.886938271092895,-46.4324314792609 -1.886703610181621,-46.4325219262696 -1.886609788830133,-46.43260699495029 -1.886521546454683,-46.43282746450681 -1.886185129763286,-46.43309689561975 -1.885940407341555,-46.43332278180435 -1.885748675558467,-46.43343076351047 -1.885551450228132,-46.43347230259474 -1.885407916419158,-46.43354806074287 -1.885260486444177,-46.4335967241286 -1.885221545296202,-46.43376832455454 -1.885108931797326,-46.43388240631235 -1.885104870138703,-46.43408249313697 -1.885098360910709,-46.43423446064566 -1.885239937689994,-46.43427842222412 -1.885350779414457,-46.43443033709548 -1.885499291975039,-46.43461736598401 -1.885583418280707,-46.43471040586661 -1.885518195829922,-46.434407515494 -1.884634915773431,-46.43329066420811 -1.885014063552719,-46.43282160104786 -1.885775308598037,-46.43159288897507 -1.887118375073032,-46.43050936651856 -1.887283194419846,-46.42993019148753 -1.887666922531614,-46.42925165687028 -1.888280373788404,-46.4283069226888 -1.888203699450743,-46.42770794796213 -1.888204939629261,-46.42713786729719 -1.888387821189973,-46.42679907849378 -1.88850489396989,-46.42672971240024 -1.888528864297653,-46.42602345854192 -1.888096907968007,-46.42519187990067 -1.888261203469818,-46.42501856298629 -1.888822552885117,-46.42465360299658 -1.889081591352415,-46.42430689585442 -1.889043873746825,-46.42406856862646 -1.889197485068654,-46.42387492687588 -1.889350791568907,-46.42362304201951 -1.88984870845207,-46.42370954897095 -1.890307566087823,-46.42386260926545 -1.890766285905008,-46.42416155923901 -1.890770596493127,-46.42812119087792 -1.888576979211964)))
AA_04;MULTIPOLYGON(((-46.44503964367806 -1.896739331970178,-46.4449527788961 -1.896607862250814,-46.44489541560628 -1.896453777389328,-46.44485691732198 -1.896383510846973,-46.44483457594629 -1.896342733664886,-46.44476501189047 -1.89637394314162,-46.44467371663482 -1.896362658230937,-46.44458239371983 -1.896337985045903,-46.44449291698783 -1.896286531342369,-46.44442064057988 -1.896277119280858,-46.44433506953073 -1.896275385466049,-46.44428879027973 -1.896423707908016,-46.44411772713794 -1.896458492482864,-46.44400325844943 -1.896275120264012,-46.44376343351835 -1.89616086415128,-46.44366082402988 -1.896195505643392,-46.4435124602459 -1.896172864122827,-46.44338677221356 -1.896081320907114,-46.44317038108681 -1.896265384380604,-46.44301098731792 -1.896426377396398,-46.44302270427117 -1.896575537309961,-46.44325133371123 -1.896793098405825,-46.44360550919249 -1.897033348473125,-46.44378986445069 -1.897230003262825,-46.4438860661458 -1.897130338186483,-46.4443348702134 -1.896900239888129,-46.44475251311986 -1.89678728173379,-46.44503964367806 -1.896739331970178)))
AA_05;MULTIPOLYGON(((-46.44355399620298 -1.897465741149269,-46.44330942129627 -1.897297908690892,-46.44310351482058 -1.897034397358103,-46.44298947255348 -1.897057587060869,-46.44281805370046 -1.896920236488209,-46.44258989802202 -1.896932188799377,-46.4424304804271 -1.897081706241317,-46.44230543187999 -1.897300006289343,-46.44206622244704 -1.897484117654907,-46.44181529594404 -1.897519068988666,-46.44166759515486 -1.897817746607105,-46.44130283921238 -1.89797916883394,-46.44101770915506 -1.898025667335945,-46.44141742669593 -1.898219919979335,-46.4415544293797 -1.898265536714074,-46.44182819773558 -1.898242013267425,-46.44198808946404 -1.898322009311108,-46.44202274306853 -1.898528500071816,-46.44228524460035 -1.898573854399209,-46.44261603403213 -1.898538735835818,-46.44297644425987 -1.898606505909264,-46.44303097127471 -1.898394862914264,-46.44305779431782 -1.898290753444684,-46.44317833297121 -1.897960574577313,-46.4433168834406 -1.897720012119388,-46.44355399620298 -1.897465741149269)))
AA_06;MULTIPOLYGON(((-46.43976090264088 -2.402273846376679,-46.43931918999505 -2.402457788045455,-46.43960021919859 -2.402347898201165,-46.43976090264088 -2.402273846376679,-46.44296294632477 -1.89897590893942,-46.44281067436369 -1.898871124976473,-46.442616579357 -1.898802676389363,-46.44229717514962 -1.898826295502063,-46.44200042288401 -1.898769537086263,-46.44185241415997 -1.898919030942908,-46.44161318084097 -1.899091666948476,-46.44121388956544 -1.899103977125384,-46.44083732135846 -1.899070336742003,-46.44065807790391 -1.899010410051328,-46.44053035165 -1.899025619265268,-46.44039069780118 -1.899019934055185,-46.44033417293043 -1.898984190419153,-46.44029541293751 -1.898918524906466,-46.44023588612676 -1.898867845146595,-46.44013177436752 -1.898808293070169,-46.44004257361466 -1.898775606126021,-46.43988316516514 -1.898773922816808,-46.43984513907259 -1.898775914855219,-46.43981851804348 -1.898775970449399,-46.43972154932776 -1.898779998201741,-46.43971785291453 -1.898831646816963,-46.43971411702395 -1.898864169256982,-46.43970708545333 -1.898872692384311,-46.43970463319939 -1.89887566481735,-46.4396947452626 -1.898891206807466,-46.43968757494833 -1.898902477202438,-46.43968570897743 -1.89891969473175,-46.43967054433276 -1.898942677911307,-46.43965908794183 -1.898919750326142,-46.43963249848889 -1.89893510686142,-46.43962609404885 -1.898946975519836,-46.43962113290019 -1.898956169481995,-46.43963261692791 -1.898992485391675,-46.43963457765124 -1.899021170685623,-46.43964032558847 -1.899042197566458,-46.43964228236506 -1.899068970242456,-46.43964421150505 -1.899082354594778,-46.43964489180167 -1.899091339021358,-46.43964812111282 -1.89913398732868,-46.43966916399147 -1.899195147407156,-46.43968062433864 -1.89921998760687,-46.43969773786501 -1.899219951862936,-46.4397167410485 -1.899214174294619,-46.43970726117359 -1.899227582475282,-46.43969209653222 -1.899250565658688,-46.43969593902361 -1.899269683891094,-46.43971689899092 -1.899290678995673,-46.43974166196485 -1.899311666155616,-46.43974929561769 -1.899325038590802,-46.43976644468324 -1.899342216401399,-46.43977788134261 -1.899355580892162,-46.43991293148473 -1.899376337669986,-46.43994345820585 -1.899426002161492,-46.4399834924445 -1.89947564678776,-46.4400120544796 -1.899494713371994,-46.44004821067776 -1.899508026213582,-46.4401128657184 -1.899509803763098,-46.44014896267115 -1.899494427348439,-46.44016793820079 -1.899475261454187,-46.44022492008026 -1.899444540407039,-46.44024584055557 -1.899446409324153,-46.44025920241723 -1.899471245531205,-46.4402649464212 -1.899490359778965,-46.44025171489922 -1.899528639921051,-46.44022704276438 -1.899551642967829,-46.44016433662689 -1.899572812854875,-46.44011494495341 -1.89959586754892,-46.44005414030976 -1.899617033462455,-46.44000095352219 -1.899643921336112,-46.43996487235943 -1.899666948221877,-46.43994591262258 -1.899693764588327,-46.43994413750831 -1.899754972309318,-46.43993852779219 -1.899800887039075,-46.43993481958086 -1.899846797796321,-46.43993113507062 -1.899904184256716,-46.4399255372093 -1.899955836839073,-46.43992946266837 -2.400015120024568,-46.43993340788194 -2.400083966295309,-46.43993350663872 -2.400131781723836,-46.43994501442049 -2.40017957331143,-46.4399488648333 -2.400202516769699,-46.43996415587411 -2.400240737323144,-46.439964191429 -2.400257950876922,-46.43996424278659 -2.400282814899041,-46.43997000260724 -2.400309579617006,-46.4399681445606 -2.400330622378599,-46.43993209894808 -2.400370862839717,-46.43993596516802 -2.400401456766208,-46.43993984719223 -2.400439701160945,-46.43994565837845 -2.400491329901171,-46.43995332761082 -2.400521915878672,-46.43996289439748 -2.400550585264473,-46.43996300107676 -2.400602225925613,-46.43995173034121 -2.40066919136924,-46.43991570843799 -2.400720907543866,-46.43987405709389 -2.400808975371095,-46.43984372784852 -2.400854941776224,-46.43982478787526 -2.400891321249496,-46.43982104018524 -2.400918105840784,-46.43982107969989 -2.400937232013832,-46.43984200415861 -2.400941013527915,-46.43986292861713 -2.400944795041521,-46.43988765213376 -2.400946655988118,-46.43990476567854 -2.40094662021587,-46.43991433247805 -2.400975289599533,-46.43989158159641 -2.401007851788712,-46.4398421306088 -2.401002217280539,-46.43982307999304 -2.400985043471806,-46.43979454160943 -2.400977452621939,-46.43974137058944 -2.401011991023648,-46.43972435187764 -2.401057929613936,-46.43969779797766 -2.401090499756227,-46.4396751142653 -2.401155576448374,-46.43967137052893 -2.40118427366106,-46.43963717899109 -2.401201558764988,-46.43959344830954 -2.401203562801303,-46.43953832834835 -2.401215153772981,-46.43950222739558 -2.401228617615415,-46.43941102227732 -2.401261322899203,-46.43939012151446 -2.401269017090988,-46.4393540363604 -2.401290131405299,-46.43930462485384 -2.401303623068594,-46.43925141823387 -2.401320947916563,-46.43919631800624 -2.401342101975073,-46.43918884632449 -2.401407146896329,-46.43919277973538 -2.401470255352576,-46.43920231097869 -2.401481711189592,-46.43921378719632 -2.401514201853025,-46.43919862651177 -2.401539097688604,-46.43917587955703 -2.401573572515243,-46.43914932958751 -2.401608055292545,-46.43909992201396 -2.401623459582887,-46.43905810861199 -2.40163311011843,-46.43902009822276 -2.40164275270415,-46.4390011463732 -2.40167339434866,-46.43897657693599 -2.401746125528992,-46.4389443342905 -2.401786358092729,-46.43889880875052 -2.401840006812912,-46.43886839647927 -2.401845808265607,-46.43883610245721 -2.401861176787238,-46.43882285512742 -2.401891806513337,-46.43881151325752 -2.401924344884162,-46.43881147921878 -2.401925096759341,-46.43880969473584 -2.40196451385708,-46.43882115515829 -2.401989354054236,-46.43884404834221 -2.402025646114231,-46.43885551271877 -2.402052398928512,-46.43887653996645 -2.402105908530259,-46.43886138718166 -2.402134629614824,-46.43887284365741 -2.402157557189732,-46.4388823828167 -2.402172838264052,-46.43890334288316 -2.402193833342343,-46.4389167245833 -2.402228232652692,-46.43895480217906 -2.402251104567821,-46.4389758096782 -2.402295051066344,-46.43898733730652 -2.402352405772171,-46.43899880564738 -2.402381071197176,-46.43899251963728 -2.402416261735882,-46.43898752703751 -2.402444211467556,-46.43893056083478 -2.402482583118308,-46.43889018129898 -2.402510181523864,-46.43918222350353 -2.402511345546393,-46.43976090264088 -2.402273846376679,-46.43960377133683 -2.402149854299393,-46.43951780822314 -2.401958771451183,-46.43955027433972 -2.401566615238232,-46.4396783197194 -2.401418119045423,-46.43976348240224 -2.401221896877573,-46.43991169333699 -2.401061753246177,-46.43996743975624 -2.401001518592249,-46.4402267860337 -2.400769892011498,-46.44033974828893 -2.400669003485067,-46.4403206257498 -2.400501967717669,-46.44046283101721 -2.400304431067995,-46.44069436182318 -2.400199948177633,-46.44101173430765 -2.400227974113574,-46.44129358695717 -2.400320625252887,-46.44205658653522 -2.400329788276503,-46.44254510111028 -2.400361042016413,-46.44300853967692 -2.400334969406762,-46.44308670954933 -2.400205704008977,-46.44305686733881 -1.89956742944372,-46.44296861778963 -1.899011628254883,-46.44297644425988 -1.898606505909264,-46.44296294632477 -1.89897590893942,-46.43976090264088 -2.402273846376679)))
AA_07;MULTIPOLYGON(((-46.44081932784986 -1.892586895959866,-46.4423979324252 -1.892187894150052,-46.44315493028573 -1.891940066111673,-46.44581832508551 -1.89193869455615,-46.44598232795823 -1.891938352302714,-46.44596180515766 -1.891719013172422,-46.44517824432605 -1.891700945324883,-46.44449266371518 -1.891702375368136,-46.44365013478488 -1.89158591594946,-46.4426517127681 -1.891863835637543,-46.44254426921539 -1.892070539885875,-46.44238455600538 -1.892076610667074,-46.44228723728822 -1.891910415431969,-46.44200230945266 -1.892054455907419,-46.44177407163158 -1.892026242223976,-46.44167129664741 -1.891980553450663,-46.44138630950223 -1.892095904667603,-46.44125498849908 -1.892038799593216,-46.44108984240547 -1.892176852575608,-46.4409362115688 -1.892366522429814,-46.44081932784986 -1.892586895959866)))
AA_08;MULTIPOLYGON(((-46.44512381190419 -1.887249888848003,-46.44484898350698 -1.887103428604882,-46.4441464379662 -1.886147266787702,-46.44415398073173 -1.886065459078693,-46.44416594601873 -1.885935685471301,-46.44407335423775 -1.885939082071628,-46.44393581172695 -1.886092377719415,-46.44398838750013 -1.886230933216349,-46.44387430865218 -1.886235952101065,-46.44375101736168 -1.886384436592853,-46.44381371025521 -1.886819427035772,-46.44393823093963 -1.88726863338436,-46.44512381190419 -1.887249888848003)))
AA_09;MULTIPOLYGON(((-46.44421786781937 -1.885372551398587,-46.44423389898237 -1.885198680933103,-46.44424873848233 -1.885037735197046,-46.44398099897219 -1.88429237057081,-46.44379292075448 -1.883969528873136,-46.44275881644945 -1.883885609813549,-46.44250115992885 -1.883419943603188,-46.44269283983832 -1.882525594310347,-46.44264902643447 -1.882023622200922,-46.4425878970871 -1.88049556461295,-46.44207377412055 -1.880142795943889,-46.43987766894378 -1.880195164139262,-46.43917596350762 -1.881095552789359,-46.4389789337286 -1.882377421459831,-46.43855204112763 -1.882837337284423,-46.43800188502865 -1.883460082376533,-46.43764150461536 -1.883900734450957,-46.43737120551282 -1.88405147038414,-46.43715038191364 -1.884174615606924,-46.43738947292648 -1.884479767111201,-46.43759462169876 -1.884376059587477,-46.43795937753975 -1.884214642121741,-46.43811870229541 -1.884019223487004,-46.43804966070899 -1.883732472367251,-46.43825487984455 -1.883663192103388,-46.4386085087372 -1.883639507069478,-46.43912172085196 -1.883546636310074,-46.4392240008632 -1.883351336168925,-46.43918897424164 -1.882961232925777,-46.43905159710083 -1.882732002592729,-46.4393703402089 -1.882387068724198,-46.43915286588723 -1.882043246829197,-46.4392318815053 -1.881629955581507,-46.43936836478129 -1.881423108955063,-46.43948205380644 -1.881227785372093,-46.43990371168723 -1.880997396168762,-46.44006296553356 -1.880767550961384,-46.44042779039149 -1.880640561424584,-46.44083836806671 -1.880570855744359,-46.4412032160947 -1.880455341842031,-46.44155674919369 -1.88038575433272,-46.44188781731788 -1.880488349393648,-46.44212756763876 -1.880568182267406,-46.44225351191017 -1.880785959927684,-46.44232304746413 -1.881313699298077,-46.44231267429234 -1.881818652986098,-46.4423248364973 -1.882185851130101,-46.44233706946902 -1.882587476309697,-46.44237207319556 -1.882966102735182,-46.44223606193589 -1.883402462952391,-46.44223665085982 -1.883689355016795,-46.44224853091592 -1.883918844968672,-46.44229451980755 -1.884090885401782,-46.44239750594043 -1.884239855941801,-46.44258007136259 -1.884250952357968,-46.44292224298832 -1.88420433846906,-46.44327591763576 -1.884203603500828,-46.44358421608346 -1.884329195651636,-46.44385831153562 -1.88446633448409,-46.44392714195439 -1.884649802824529,-46.44390474873315 -1.884856412246372,-46.44392777870686 -1.884959645791194,-46.44391684156931 -1.885189182824135,-46.44395146915022 -1.885384197954848,-46.44421786781937 -1.885372551398587)))
AA_10;MULTIPOLYGON(((-46.43736461186304 -1.885039002208114,-46.43738947292648 -1.884479767111201,-46.43727527302556 -1.884334013990153,-46.43715038191364 -1.884174615606924,-46.43681529895589 -1.884361479032123,-46.43612057011902 -1.884028208853915,-46.43600913482472 -1.884091198081417,-46.43600162966879 -1.884201889454757,-46.43597164364179 -1.884644146068329,-46.43609285780575 -1.884955195551792,-46.43610729508435 -1.885196388115566,-46.43619187388837 -1.885159778788744,-46.43636300791783 -1.885159423869444,-46.43642718317229 -1.885159290769202,-46.43655909896186 -1.885159017164837,-46.436733812932 -1.885165827140258,-46.43690137423837 -1.885161893380742,-46.43717573243629 -1.885078842047416,-46.43736461186304 -1.885039002208114)))
